Subject,Group,count,Feel1,Feel2,Feel3,Flch_2_1,Flch_3_1,Content_pos1,Content_pos2,Content_pos3,Conch_2_1,Conch_3_1,ConSim_2_1,ConSim_3_1,r1_total_details,r2_orig_perc,r2_elab_perc,r2_newpos_perc,r2_newneg_perc,r3_orig_perc,r3_elab_perc,r3_newpos_perc,r3_newneg_perc,date
627,Control,10,5.9,6.2,6,0.3,0.1,3.85,4.15,3.9,0.3,0.05,2.6,3.5,3.222222222,0.932098765,0.055555556,0,0.055555556,0.771825397,0,0.041666667,0.186507937,4.2
629,Control,10,5.1,4.9,4.9,-0.2,-0.2,4.05,3.95,4.15,-0.1,0.1,2.7,3.4,3.05,0.651103896,0,0.076948052,0.271948052,0.653333333,0.05,0.115,0.215,5
630,Positive,10,5.8,5,5.6,-0.8,-0.2,3.6,4.4,4.3,0.8,0.7,3.75,4.5,5.35,0.706190476,0.05,0.22297619,0.054166667,0.741190476,0,0.137619048,0.121190476,4.9
632,Positive,8,4.375,5.5,5,1.125,0.625,3.25,4.5,4.25,1.25,1,NA,5.75,6.6875,1,0,0,0,1,0,0,0,5.875
633,Control,10,4.9,3.5,4.8,-1.4,-0.1,3.7,3.6,3.9,-0.1,0.2,2.5,3.05,6.5,0.84034628,0,0.065648657,0.094005064,0.850469824,0,0.07122931,0.078300866,4.4
635,Positive,10,4.3,5.2,4.7,0.9,0.4,4.15,4.2,4.1,0.05,-0.05,3.35,4.5,3.4375,0.542410714,0.125,0.208333333,0.213541667,0.514880952,0.25,0.205357143,0.196428571,3.9
636,Control,6,5.333333333,5,5.666666667,-0.333333333,0.333333333,4.5,4.416666667,5,-0.083333333,0.5,3.166666667,4.416666667,4.666666667,0.651515152,0.083333333,0.214285714,0.11038961,0.562770563,0.083333333,0.326298701,0.087121212,3.333333333
638,Positive,10,2.9,3.6,3.2,0.7,0.3,3.5,3.55,3.35,0.05,-0.15,3.2,3.7,3.65,0.771428571,0,0.114285714,0.114285714,0.7225,0,0.095,0.1825,5
641,Positive,10,3.4,3.5,3.8,0.1,0.4,3.4,3.5,4,0.1,0.6,2.3,3.35,5.05,0.908928571,0,0.051785714,0.039285714,0.734796454,0.25,0.148915668,0.076515152,4.6
642,Control,10,4.1,4.4,3.8,0.3,-0.3,3.85,4.1,4,0.25,0.15,2.15,2.3,2.85,0.985714286,0,0.014285714,0,0.913095238,0,0.029166667,0.057738095,4.7
643,Positive,9,3.555555556,2.777777778,5.666666667,-0.777777778,2.111111111,3.833333333,3.611111111,4.111111111,-0.222222222,0.277777778,3.111111111,4,3.833333333,0.591707367,0,0.111803012,0.296489621,0.704056437,0,0.15,0.145943563,4
646,Positive,9,3.333333333,3.666666667,4.444444444,0.333333333,1.111111111,3.055555556,3.388888889,3.277777778,0.333333333,0.222222222,3.944444444,4.277777778,3.555555556,0.833333333,0,0.055555556,0.111111111,0.681216931,0,0.12037037,0.198412698,5
649,Positive,9,5.222222222,4.555555556,6.555555556,-0.666666667,1.333333333,4.333333333,4.333333333,4.166666667,0,-0.166666667,4.944444444,4.833333333,2.7,0.441428571,0.2,0.227142857,0.286428571,0.68952381,0,0.097142857,0.213333333,4.222222222
650,Positive,10,5.1,5.6,5.1,0.5,0,4.15,4.1,4.2,-0.05,0.05,2.85,3.65,6,0.744119084,0,0.150038067,0.10584285,0.739426407,0,0.118863636,0.141709957,4.8
